id,franchise_id,space_min_sqft,space_max_sqft,required_property_type,staff_required_min,staff_required_max,staff_breakdown,operating_hours,training_provided,training_details,computer_requirements,marketing_support,preferred_locations,qualification_required,supply_chain_support,quality_control,created_by,updated_by,created_at,updated_at
18e52a53-15fb-495e-a097-5f91877dd1bb,38561e9f-265f-4bd5-9e6f-4d4c001fab1e,500,1000,NULL,5,15,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-15 20:48,2024-01-15 00:20:04.00
039c7b9f-6be7-414f-8be6-35fad305285e,fb0b305f-4c8f-43af-acc7-5619797e05a7,100,500,NULL,3,5,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-15 22:10,2024-01-15 10:22:02.00
909a2f53-f766-44ce-9762-37f5f91960d6,fbb1242f-32be-4c01-b085-b98486a13802,200,700,NULL,3,6,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-15 23:57,2024-01-15 09:23:00.00
a6ca26da-0e28-4d0e-a8db-c67cc01a3af5,bb624860-ff6d-416a-bd40-2458aeefed6c,,,NULL,2,2,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-01-15 01:11:20,2024-01-15 11:25:08.00
36777e72-e3ca-4682-b9fa-222ab95aaaaf,d93c950c-ab6f-4a07-b92b-33b89adc419b,600,800,NULL,2,5,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 13:46,2024-01-15 22:37:03.00
c0f4e3ac-8fd9-416f-b13a-8033b2a48f86,12c8ab8c-e4fd-4910-8bce-ef630b9e6491,750,2000,NULL,4,6,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-15 11:50,2024-01-15 01:11:07.00
f29161ae-87c0-4326-99f4-65b6f16c9b71,64afff51-8b14-4193-a750-6c03763a23b4,600,800,NULL,3,6,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 0:52,2024-01-15 04:24:01.00
c190e9ac-b137-4eb4-b4a6-ac1821b70413,3431dd32-d63e-4fce-8a7b-488a02dadf73,200,350,NULL,1,3,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-01-15 02:24:30,2024-01-15 00:26:09.00
0832f03b-7081-4581-9cb1-2c03f2b1d338,c6444da3-7bf0-44e7-a219-85d4e84bded4,600,1000,NULL,0,0,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-01-15 03:24:20,2024-01-15 00:27:08.00
9284a81c-64bf-48f6-bb22-a140a541888b,b702b30c-ea16-4a5b-8d78-13f8c41c51d3,600,1000,NULL,3,5,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 8:27,2024-01-15 03:32:04.00
