id,franchise_id,initial_investment_min,initial_investment_max,franchise_fee,royalty_percentage,marketing_fee_percentage,payback_min_months,payback_max_months,roi_min_percentage,roi_max_percentage,monthly_turnover_min,monthly_turnover_max,single_unit_cost_min,single_unit_cost_max,investment_includes,created_by,updated_by,created_at,updated_at
084c13e6-5650-47d8-b183-b679800ce9d6,bb0d140f-d9e5-4b4a-8182-4376a439422f,1000000,2000000,,,,12,24,20,25,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
a5dcbc66-63e6-4094-be2a-c2b55ddbec0e,243ecbfb-c97d-42f8-b56c-31ca4f742263,1000000,1500000,200000,,,18,24,25,30,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 1:09,2025-1-1 1:09
5ed4cd8e-7527-41a0-aebd-76c2d29e2230,5b707bb6-7325-4cd8-961e-8eff582d5328,200000,500000,50000,23.6,,12,12,48,52,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 2:10,2025-1-1 2:10
8c6de718-e928-4171-a7f0-a35460378e15,f796a38b-1d81-4e48-ad0c-4ebeb485b41d,1000000,3000000,,0,,18,24,35,40,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 8:52,2025-1-1 8:52
c7c23951-c028-4ad1-8e65-7cd0366d97a9,e909318a-6b26-4da4-a189-c7e5e01c2226,500000,1000000,100000,5,,12,18,30,30,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 10:52,2025-1-1 10:52
0d42a308-f23e-484a-9ddb-2b2e3052da04,ad81abe8-369b-42cc-b233-fa5e90258116,1500000,2500000,500000,3,,18,24,30,40,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
13f6abbd-031f-4f64-a800-910f5389ef7c,98ecc642-3342-4704-bc19-7da7d34461df,3000000,10000000,750000,25,,12,24,25,30,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
2f266bc9-8d72-4332-b488-60562eac66ad,290bec96-ad40-46e1-ad88-33c3cf6536b9,3000000,5000000,300000,0,,24,36,35,35,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
5ff35468-a240-44a8-a4a4-36d22963b28a,0ce95acf-1221-45aa-ae6a-d496a33d1fa8,1000000,2000000,500000,17,,18,30,20,28,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
f4cb9c15-45b1-426b-8bd8-0071dd758a25,3d7a177b-20bf-4b7d-a8a1-7c3514daa4a5,4500000,5000000,300000,35,,24,36,20,20,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
0d0e0743-530f-44e2-ae9e-d0f02cf45b0c,2155ba74-85c2-4123-9485-75b3c9e07def,2000000,3000000,250000,0,,12,24,25,35,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
