id,territory_rights,sub_franchise_fee_split,master_fee,min_sub_franchises_required
55535d31-096c-43f2-b6a1-cb814b62af2d,,,500000.0,
1dd34dc1-1e74-4a4a-919d-28b297809af9,,,,
8ebbce63-0dcd-41ff-ab3a-1860f4fe2eed,,,,
6a3cdf00-6328-4046-acf8-abc0e2062e85,,,,
34342e4e-a52d-40de-88dd-3b83f12d68f8,,,,
c8dec53c-451c-49ed-971b-93353be93666,,,,
880a9723-1f6a-42b3-be2d-2ed643c3c61e,,,,
fb0b305f-4c8f-43af-acc7-5619797e05a7,,,,
df361e73-da0e-4e50-992d-e95e57306357,,,,
2ab72a84-be1d-4f96-bfc6-cbf4113c345d,,,,
d39d234b-6ab8-4219-809e-d08dcb0e0f25,,,,
a1b5ecef-aa15-47c8-8bb3-b82f668853f3,,,,
72e6add9-4743-4221-8a37-504502dbca6b,,,,
99bcfc5c-fc74-43ef-a781-d4b7b80621f9,,,,
6bedb6b8-7dce-47de-b44e-d8e064f19564,,,,
79850dd5-7469-4271-992c-007ecc84f780,,,,
2155ba74-85c2-4123-9485-75b3c9e07def,,,,
c56a2d53-aae5-4fdd-b0e4-590658870784,,,,
f610d893-650e-46e2-89a6-c50f59036275,,,,
920758a7-115a-4855-b362-b6333252f4db,,,,
22f6d92b-6700-4bc0-b9dc-c675b7b54cf8,,,,
41e26b3a-de05-4cba-abd7-c2e83b8dab02,,,,
99dd490a-cdc3-45c4-8a49-30fda6072c66,,,,
b171a3eb-b854-4886-84c0-fe705ac3c1cc,,,,
3cf4b25c-837c-481b-8410-cdc67b610ca4,,,,
2db5cbd5-48ed-4e9c-a227-77dafab8c25e,,,,
8a6da7c1-b587-4ec7-8741-9985398bf9b9,,,,
5e855d26-cf12-4e9b-a18d-47a151d8e113,,,,
e2b487e4-321d-4ab9-a363-ef1786514fa9,,,,
19843c57-c025-4d31-b054-80647fc45887,,,,
36579fe8-427c-403c-af86-89f39ff2ee0a,,,,
af875dcc-fb64-4281-aba6-ee66dbda9d9a,,,,
9d2498c3-924d-42e0-9012-2a1b738c333e,,,,
cc440551-d571-4def-8496-f6ba45ebabb5,,,,
069152e1-24d2-4b17-84c0-b532c67b219d,,,,
b13d8054-0e18-48c5-9d82-b7222458d82a,,,,
936c18f8-c03e-4ab7-9eb5-908495d3ff95,,,,
6acc17eb-e383-4c0f-bff7-def49b80f73c,,,,
